customer_email,total_amount,status,created_at,product_skus
hitesh.bhandari95@example.com,12195.0,cancelled,2025-09-10,TN-KB-001;TN-HUB-001;TN-CAM-001
chandran.datta211@example.com,22497.0,cancelled,2025-09-10,TN-MON-001;TN-CAM-001;TN-MOUSE-001
yamini.garg339@example.com,1269.88,paid,2025-09-10,TN-COOL-001
pratyush.madan120@example.com,6998.0,failed,2025-09-11,TN-KB-001
tanmayi.boase170@example.com,40656.2,paid,2025-09-11,TN-MON-001;TN-HEADSET-001;TN-LIGHT-001
frado.raj146@example.com,2398.0,cancelled,2025-09-11,TN-COOL-001
david.kurian281@example.com,2974.15,paid,2025-09-12,TN-KB-001
alka.magar119@example.com,6998.0,paid,2025-09-12,TN-KB-001
mohammed.ramachandran161@example.com,18999.0,pending,2025-09-12,TN-MON-001
laksh.sani34@example.com,1284.31,paid,2025-09-12,TN-COOL-001
chandresh.golla132@example.com,1599.0,paid,2025-09-12,TN-HUB-001
dev.nori282@example.com,2124.15,paid,2025-09-12,TN-CTRL-001
tristan.ravel346@example.com,2999.0,paid,2025-09-12,TN-HEADSET-001
charvi.date343@example.com,1599.0,paid,2025-09-12,TN-HUB-001
leela.parmer349@example.com,5697.15,failed,2025-09-12,TN-HEADSET-001;TN-MOUSE-001
riya.thaman362@example.com,2278.1,paid,2025-09-13,TN-MOUSE-001;TN-MAT-001
vidhi.gaba110@example.com,1709.05,paid,2025-09-13,TN-LIGHT-001
banjeet.memon313@example.com,3957.3,paid,2025-09-13,TN-HUB-001;TN-COOL-001
bina.varty181@example.com,1709.05,paid,2025-09-13,TN-LIGHT-001
nimrat.vasa488@example.com,2198.0,paid,2025-09-13,TN-MAT-001;TN-STAND-001
amara.mitra467@example.com,8297.0,paid,2025-09-13,TN-STAND-001;TN-KB-001
riya.thaman362@example.com,20967.3,paid,2025-09-14,TN-MON-001;TN-STAND-001;TN-HEADSET-001
aarna.jaggi223@example.com,3499.0,failed,2025-09-14,TN-KB-001
vrinda.sama21@example.com,1376.14,paid,2025-09-14,TN-STAND-001
patilmichael@example.com,2124.15,pending,2025-09-14,TN-CTRL-001
leena.narula116@example.com,3958.2,paid,2025-09-14,TN-MAT-001;TN-KB-001
rushil.gopal375@example.com,9086.4,pending,2025-09-14,TN-CTRL-001;TN-STAND-001;TN-SSD-001
pahal.kuruvilla121@example.com,1384.64,paid,2025-09-14,TN-STAND-001
adweta.parsa189@example.com,2098.0,paid,2025-09-14,TN-COOL-001;TN-MAT-001
hamsini.bhatia226@example.com,37998.0,paid,2025-09-14,TN-MON-001
ikbal.shankar237@example.com,41701.2,paid,2025-09-14,TN-MAT-001;TN-MON-001;TN-SSD-001
rishi.kashyap257@example.com,2098.0,cancelled,2025-09-14,TN-MAT-001;TN-COOL-001
yatin.balakrishnan247@example.com,4397.0,paid,2025-09-14,TN-LIGHT-001;TN-STAND-001
chakrika.kalla417@example.com,1237.94,paid,2025-09-15,TN-COOL-001
nathaniel.narain420@example.com,1899.05,pending,2025-09-15,TN-CAM-001
urvashi.goswami347@example.com,6362.15,cancelled,2025-09-15,TN-HUB-001;TN-KB-001
dev.nori282@example.com,1512.67,cancelled,2025-09-15,TN-MOUSE-001
kashvi.sangha207@example.com,1619.1,cancelled,2025-09-15,TN-LIGHT-001
zarna.wali94@example.com,21498.0,paid,2025-09-15,TN-MON-001;TN-CTRL-001
rishi.borde315@example.com,18178.2,paid,2025-09-15,TN-MON-001;TN-COOL-001
hansupasna@example.net,1709.05,paid,2025-09-16,TN-LIGHT-001
vrinda.sama21@example.com,1153.81,cancelled,2025-09-16,TN-COOL-001
jyoti.dhingra382@example.com,18999.0,paid,2025-09-16,TN-MON-001
darsh.sunder179@example.com,3149.1,paid,2025-09-16,TN-KB-001
omkaar.chopra270@example.com,2374.05,paid,2025-09-16,TN-CTRL-001
jatin.kapoor6@example.com,1699.15,paid,2025-09-16,TN-CAM-001
faris.sethi412@example.com,1899.05,paid,2025-09-16,TN-CAM-001
harshil.vyas82@example.com,2753.1,paid,2025-09-16,TN-STAND-001;TN-HUB-001
chaitaly.nagar438@example.com,2249.1,paid,2025-09-16,TN-CTRL-001
vrishti.cherian490@example.com,3137.74,paid,2025-09-16,PROMO-GIFTSET-01
bimala.sehgal134@example.com,1553.85,pending,2025-09-16,TN-MOUSE-001
manthan.yadav122@example.com,2698.0,refunded,2025-09-16,TN-COOL-001;TN-MOUSE-001
inaya.taneja23@example.com,1421.05,paid,2025-09-17,TN-MOUSE-001
adweta.parsa189@example.com,4749.05,failed,2025-09-17,TN-SSD-001
shivani.sane219@example.com,1359.15,paid,2025-09-17,TN-HUB-001
daksh.dhingra261@example.com,1248.21,paid,2025-09-17,TN-COOL-001
abha.keer419@example.com,5998.0,failed,2025-09-17,TN-KB-001;TN-CTRL-001
adya.sangha459@example.com,5997.0,cancelled,2025-09-17,TN-STAND-001;TN-KB-001;TN-COOL-001
nirja.shan496@example.com,1931.89,paid,2025-09-17,OLD-BUNDLE-2024
nimrat.vasa488@example.com,19758.1,paid,2025-09-18,TN-MON-001;TN-LIGHT-001
chakradhar.deol8@example.com,1599.0,refunded,2025-09-18,TN-HUB-001
inaya.taneja23@example.com,907.69,paid,2025-09-18,PROMO-GIFTSET-01
chatura.thaman365@example.com,5498.0,pending,2025-09-18,TN-KB-001;TN-CAM-001
warda.doctor162@example.com,2999.0,paid,2025-09-18,TN-HEADSET-001
kkala@example.org,1619.1,paid,2025-09-19,TN-LIGHT-001
vincent.barad414@example.com,1587.7,pending,2025-09-19,TN-MOUSE-001
upasnapant@example.org,3058.3,paid,2025-09-19,TN-LIGHT-001
upkaar.cheema413@example.com,1392.62,paid,2025-09-19,TN-MOUSE-001
shravya.ravi194@example.com,970.64,paid,2025-09-19,TN-MAT-001
januja.bal50@example.com,710.98,paid,2025-09-19,PROMO-GIFTSET-01
qarin.ramanathan497@example.com,3398.0,paid,2025-09-19,TN-MAT-001;TN-CTRL-001
qadim.agrawal91@example.com,3228.1,paid,2025-09-20,TN-CTRL-001;TN-MAT-001
alka13@example.com,4078.3,paid,2025-09-20,TN-KB-001;TN-STAND-001
jagvi.sethi379@example.com,1559.16,failed,2025-09-20,TN-MOUSE-001
banjeet.de363@example.com,2499.0,paid,2025-09-20,TN-CTRL-001
qushi.pau361@example.com,2278.1,paid,2025-09-20,TN-COOL-001
samesh.kashyap173@example.com,944.25,refunded,2025-09-20,TN-MAT-001
omaja.sharma301@example.com,1400.75,paid,2025-09-20,TN-MOUSE-001
azaan.sachar443@example.com,4462.15,paid,2025-09-20,TN-CAM-001;TN-MOUSE-001;TN-COOL-001
damini.salvi353@example.com,4368.1,paid,2025-09-21,TN-HEADSET-001;TN-HUB-001
warda.ramaswamy140@example.com,2999.0,cancelled,2025-09-21,TN-HEADSET-001
sathvik.lall373@example.com,1619.1,cancelled,2025-09-21,TN-LIGHT-001
owen.oommen221@example.com,1296.96,paid,2025-09-21,TN-COOL-001
aishani.apte400@example.com,3687.3,paid,2025-09-21,TN-MAT-001;TN-HUB-001
dipta.shroff14@example.com,26497.0,cancelled,2025-09-21,TN-SSD-001;TN-MON-001;TN-CTRL-001
alexander.behl337@example.com,5896.15,paid,2025-09-21,OLD-BUNDLE-2024
hitesh.virk393@example.com,4498.2,paid,2025-09-21,TN-CTRL-001
nachiket.kota468@example.com,2548.3,paid,2025-09-22,TN-MOUSE-001
chanchal.chand60@example.com,18718.2,paid,2025-09-22,TN-MON-001;TN-LIGHT-001
xavier.sani481@example.com,1799.1,cancelled,2025-09-22,TN-CAM-001
yamini.bir255@example.com,1619.1,paid,2025-09-22,TN-LIGHT-001
onkar.sarin447@example.com,37311.6,paid,2025-09-22,TN-SSD-001;TN-MON-001;TN-MAT-001
charvi.subramanian215@example.com,4748.1,paid,2025-09-22,TN-CTRL-001
aarna.jaggi223@example.com,4999.0,paid,2025-09-23,TN-SSD-001
waida.bandi252@example.com,18049.05,paid,2025-09-23,TN-MON-001
vrinda.sama21@example.com,2499.0,cancelled,2025-09-23,TN-CTRL-001
vihaan.sen312@example.com,4138.2,paid,2025-09-23,TN-HUB-001;TN-HEADSET-001
jasmit.bahl114@example.com,3498.0,cancelled,2025-09-24,TN-CAM-001;TN-MOUSE-001
chanakya.pillai441@example.com,3868.2,paid,2025-09-24,TN-STAND-001;TN-HEADSET-001
falak.gulati470@example.com,1699.15,paid,2025-09-24,TN-CAM-001
jasmit.bhardwaj2@example.com,7397.0,paid,2025-09-24,TN-SSD-001;TN-MOUSE-001;TN-MAT-001
bimala.sehgal134@example.com,21246.6,paid,2025-09-24,TN-HEADSET-001;TN-MON-001;TN-MOUSE-001
anita.nayak283@example.com,2498.0,cancelled,2025-09-24,TN-STAND-001;TN-COOL-001
yauvani.gokhale316@example.com,4826.77,paid,2025-09-24,OLD-BUNDLE-2024
yatin.balakrishnan247@example.com,4698.0,paid,2025-09-24,TN-COOL-001;TN-KB-001
mason.koshy350@example.com,2158.2,paid,2025-09-24,TN-COOL-001
dev.nori282@example.com,7498.0,cancelled,2025-09-24,TN-CTRL-001;TN-SSD-001
reyansh.kohli220@example.com,1374.12,pending,2025-09-25,TN-STAND-001
udant.hayer63@example.com,1357.34,paid,2025-09-25,TN-STAND-001
oscar.kaur300@example.com,3324.05,cancelled,2025-09-25,TN-KB-001
baljiwan.chadha3@example.com,3499.0,pending,2025-09-25,TN-KB-001
veda.bhatnagar325@example.com,18999.0,paid,2025-09-25,TN-MON-001
yashica.kota101@example.com,3608.1,paid,2025-09-25,TN-CTRL-001;TN-STAND-001
warda.doctor162@example.com,1799.0,paid,2025-09-25,TN-LIGHT-001
ekiya.patla277@example.com,9998.0,failed,2025-09-25,TN-SSD-001
isaac.chaudhary241@example.com,2463.3,failed,2025-09-25,TN-CAM-001;TN-MAT-001
raghav.pradhan11@example.com,1619.1,paid,2025-09-26,TN-LIGHT-001
gabriel.randhawa76@example.com,2499.0,cancelled,2025-09-26,TN-CTRL-001
tejas.mani30@example.com,2374.05,paid,2025-09-26,TN-CTRL-001
rishi.kashyap257@example.com,1709.05,paid,2025-09-26,TN-LIGHT-001
sathvik.lall373@example.com,2499.0,paid,2025-09-26,TN-CTRL-001
ishani.bhalla498@example.com,941.06,cancelled,2025-09-27,TN-MAT-001
krisha46@example.net,6627.45,paid,2025-09-27,TN-HEADSET-001;TN-STAND-001;TN-KB-001
zehaan.devan108@example.com,38566.2,paid,2025-09-27,TN-MON-001;TN-STAND-001
samesh.jani434@example.com,1268.66,paid,2025-09-27,TN-COOL-001
watika.wali13@example.com,1228.85,pending,2025-09-27,TN-STAND-001
balveer.agarwal238@example.com,5196.0,paid,2025-09-27,TN-MAT-001;TN-LIGHT-001;TN-HUB-001
dipta.shroff14@example.com,8498.0,paid,2025-09-27,TN-SSD-001;TN-KB-001
chanchal.chand60@example.com,890.12,paid,2025-09-27,TN-MAT-001
lakshit.mangat210@example.com,1619.1,paid,2025-09-27,TN-LIGHT-001
kashvi.narula269@example.com,4798.0,pending,2025-09-28,TN-LIGHT-001;TN-HEADSET-001
owen.trivedi408@example.com,3228.1,paid,2025-09-28,TN-HUB-001;TN-LIGHT-001
triveni.gaba336@example.com,1594.89,cancelled,2025-09-28,TN-MOUSE-001
ishani.bhalla498@example.com,2898.0,paid,2025-09-28,TN-HUB-001;TN-STAND-001
ikbal.chhabra475@example.com,2374.05,paid,2025-09-28,TN-CTRL-001
yachana.de89@example.com,20498.0,paid,2025-09-28,TN-MOUSE-001;TN-MON-001
rushil.brahmbhatt176@example.com,3058.3,paid,2025-09-28,TN-LIGHT-001
jagdish.bedi314@example.com,4998.0,paid,2025-09-28,TN-MOUSE-001;TN-KB-001
anita.nayak283@example.com,6926.4,failed,2025-09-28,TN-KB-001;TN-COOL-001;TN-LIGHT-001
orinder.dhaliwal92@example.com,2878.2,paid,2025-09-28,TN-HUB-001
samar.balay324@example.com,1220.33,paid,2025-09-28,TN-COOL-001
eta.chakraborty123@example.com,2974.15,paid,2025-09-29,TN-KB-001
zashil.bansal136@example.com,5498.0,paid,2025-09-29,TN-HEADSET-001;TN-CTRL-001
vedika.ramesh192@example.com,941.18,paid,2025-09-29,TN-MAT-001
ishwar.wali378@example.com,1599.0,refunded,2025-09-29,TN-HUB-001
elijah.raman234@example.com,1599.0,paid,2025-09-29,TN-HUB-001
rayaan.goyal267@example.com,1275.91,pending,2025-09-29,TN-COOL-001
shravya.char398@example.com,1599.0,paid,2025-09-29,TN-HUB-001
devika.parikh330@example.com,4332.45,paid,2025-09-29,TN-MOUSE-001;TN-CAM-001;TN-HUB-001
chandran.datta211@example.com,2598.0,paid,2025-09-29,TN-STAND-001
timothy.bhatti369@example.com,1999.0,paid,2025-09-29,TN-CAM-001
charita.vohra17@example.com,1349.74,paid,2025-09-29,TN-MOUSE-001
yamini.bir255@example.com,2124.15,paid,2025-09-29,TN-CTRL-001
shravya.char398@example.com,20327.15,refunded,2025-09-30,TN-MON-001;TN-COOL-001
falan.johal217@example.com,1699.15,refunded,2025-09-30,TN-CAM-001
kiaan.arora178@example.com,5937.3,failed,2025-10-01,TN-HEADSET-001;TN-LIGHT-001
watika.buch32@example.com,3324.05,refunded,2025-10-01,TN-KB-001
ekansh.batra431@example.com,4083.1,paid,2025-10-01,TN-CTRL-001;TN-LIGHT-001
urmi.wali423@example.com,2999.0,paid,2025-10-01,TN-HEADSET-001
qadim.agarwal153@example.com,2499.0,paid,2025-10-01,TN-CTRL-001
ikbal.shankar237@example.com,3652.45,paid,2025-10-01,TN-MAT-001;TN-CTRL-001
imaran.edwin131@example.com,5998.0,paid,2025-10-01,TN-HEADSET-001
kevin.chaudhari437@example.com,1709.05,failed,2025-10-01,TN-LIGHT-001
jalsa.sangha202@example.com,5897.0,paid,2025-10-01,TN-CTRL-001;TN-MAT-001
rishi.kashyap257@example.com,1148.24,paid,2025-10-01,TN-COOL-001
ayaan.bhatnagar98@example.com,3499.0,paid,2025-10-01,TN-KB-001
ekalinga.dave360@example.com,1599.0,pending,2025-10-01,TN-HUB-001
gabriel.randhawa76@example.com,1290.97,paid,2025-10-01,TN-STAND-001
rayaan.malhotra96@example.com,20498.0,refunded,2025-10-01,TN-MON-001;TN-MOUSE-001
abha.keer419@example.com,9797.0,paid,2025-10-01,TN-KB-001;TN-STAND-001;TN-SSD-001
darsh.sunder179@example.com,829.15,cancelled,2025-10-01,TN-MAT-001
charan.mangal204@example.com,2798.0,paid,2025-10-02,TN-MOUSE-001;TN-STAND-001
logan85@example.net,19437.3,paid,2025-10-02,TN-STAND-001;TN-MON-001
arunima.parsa227@example.com,2968.2,paid,2025-10-02,TN-STAND-001;TN-CAM-001
rushil.dey142@example.com,1076.76,paid,2025-10-02,TN-COOL-001
yatan.keer306@example.com,4999.0,cancelled,2025-10-02,TN-SSD-001
zayyan.wason380@example.com,5998.0,paid,2025-10-02,TN-HEADSET-001
yashica.kota101@example.com,8998.2,paid,2025-10-02,TN-SSD-001
kashvi.sangha207@example.com,5797.0,failed,2025-10-02,TN-HEADSET-001;TN-STAND-001;TN-MOUSE-001
frederick.solanki184@example.com,1519.05,failed,2025-10-02,TN-HUB-001
osalvi@example.net,1799.1,paid,2025-10-02,TN-CAM-001
bahadurjit.kant387@example.com,3149.1,paid,2025-10-02,TN-KB-001
mekhala.chakraborty338@example.com,1799.0,paid,2025-10-02,TN-LIGHT-001
tristan.bhavsar127@example.com,1486.5,paid,2025-10-03,TN-MOUSE-001
ucchal.shukla182@example.com,7998.0,paid,2025-10-03,TN-SSD-001;TN-HEADSET-001
eshana.lad86@example.com,580.18,paid,2025-10-03,PROMO-GIFTSET-01
tristan.bhavsar127@example.com,20898.1,paid,2025-10-03,TN-MON-001;TN-HEADSET-001
dev.nori282@example.com,849.85,cancelled,2025-10-03,TN-MAT-001
panini.prabhakar251@example.com,13497.0,refunded,2025-10-03,TN-SSD-001;TN-KB-001
baghyawati.mishra213@example.com,4368.1,paid,2025-10-03,TN-HEADSET-001;TN-HUB-001
qabil.lall39@example.com,1251.69,paid,2025-10-03,TN-COOL-001
samesh.kashyap173@example.com,2658.1,cancelled,2025-10-03,TN-HUB-001;TN-COOL-001
chaman.varty385@example.com,9196.0,paid,2025-10-04,TN-COOL-001;TN-SSD-001;TN-LIGHT-001
jyoti.dhingra382@example.com,3998.0,refunded,2025-10-04,TN-CAM-001
radha.hayer83@example.com,2373.1,paid,2025-10-04,TN-COOL-001;TN-STAND-001
vihaan.date465@example.com,8197.0,cancelled,2025-10-04,TN-SSD-001;TN-HUB-001
rushil.dey142@example.com,1599.0,cancelled,2025-10-04,TN-HUB-001
onveer.bhavsar341@example.com,23497.0,paid,2025-10-04,TN-CTRL-001;TN-MON-001;TN-CAM-001
mason.koshy350@example.com,1465.35,refunded,2025-10-04,TN-MOUSE-001
saumya.ratti33@example.com,4948.2,paid,2025-10-04,TN-HEADSET-001;TN-CTRL-001
vasatikaagate@example.net,983.54,cancelled,2025-10-05,TN-MAT-001
hardik.kalla180@example.com,1354.13,paid,2025-10-05,TN-MOUSE-001
shivani.sane219@example.com,18999.0,cancelled,2025-10-05,TN-MON-001
vedika.ramesh192@example.com,18049.05,paid,2025-10-05,TN-MON-001
hitesh.virk393@example.com,2499.0,paid,2025-10-05,TN-CTRL-001
saumya.kothari235@example.com,1799.0,paid,2025-10-05,TN-LIGHT-001
vidhi.gaba110@example.com,6498.0,pending,2025-10-05,TN-MOUSE-001;TN-SSD-001
owen.oommen221@example.com,4177.15,pending,2025-10-05,TN-CAM-001;TN-COOL-001
dhruv.randhawa308@example.com,1550.71,pending,2025-10-05,TN-MOUSE-001
alexander.behl337@example.com,35277.3,paid,2025-10-05,TN-MON-001;TN-COOL-001
nandini.bhatia45@example.com,3998.0,paid,2025-10-05,TN-CAM-001
nachiket.kota468@example.com,2999.0,paid,2025-10-05,TN-HEADSET-001
kai.bassi130@example.com,974.24,paid,2025-10-06,TN-MAT-001
daksh.dhingra261@example.com,1311.7,paid,2025-10-06,TN-STAND-001
mason.koshy350@example.com,1599.0,paid,2025-10-06,TN-HUB-001
ishita34@example.com,5498.0,paid,2025-10-06,TN-HEADSET-001;TN-CTRL-001
chanakya.mand203@example.com,2798.0,refunded,2025-10-06,TN-HUB-001;TN-COOL-001
charvi.date343@example.com,5897.0,cancelled,2025-10-06,TN-MAT-001;TN-CTRL-001
charles.chaudry48@example.com,5298.0,paid,2025-10-06,TN-KB-001;TN-LIGHT-001
yauvani.patla389@example.com,1999.0,paid,2025-10-06,TN-CAM-001
timothy.bhatti369@example.com,3339.69,paid,2025-10-06,OLD-BUNDLE-2024
mugdha.jani208@example.com,5753.06,paid,2025-10-06,PROMO-GIFTSET-01
tanmayi.boase170@example.com,4999.0,paid,2025-10-06,TN-SSD-001
rachana.muni231@example.com,1799.1,paid,2025-10-06,TN-CAM-001
zehaan.devan108@example.com,4587.3,paid,2025-10-07,TN-LIGHT-001;TN-CAM-001;TN-STAND-001
xavier.memon147@example.com,2849.05,paid,2025-10-07,TN-HEADSET-001
veer.cheema118@example.com,7648.2,paid,2025-10-07,TN-KB-001;TN-SSD-001
darpan.gour264@example.com,20498.0,paid,2025-10-07,TN-MOUSE-001;TN-MON-001
yutika.bhagat42@example.com,2999.0,paid,2025-10-07,TN-HEADSET-001
matthew.rana0@example.com,1599.0,paid,2025-10-07,TN-HUB-001
aayush.pall449@example.com,2499.0,failed,2025-10-07,TN-CTRL-001
advik.hegde406@example.com,1263.29,paid,2025-10-07,TN-COOL-001
gavin.lalla157@example.com,1288.63,cancelled,2025-10-07,TN-COOL-001
triveni.gaba336@example.com,2208.3,paid,2025-10-07,TN-STAND-001
viraj.arora38@example.com,836.34,failed,2025-10-07,TN-MAT-001
jhalak.sekhon355@example.com,1430.61,paid,2025-10-07,TN-MOUSE-001
patilmichael@example.com,1297.86,paid,2025-10-07,TN-COOL-001
meera.bajaj159@example.com,3598.0,paid,2025-10-07,TN-LIGHT-001
eshana.tiwari99@example.com,2249.1,cancelled,2025-10-07,TN-CTRL-001
nachiket.kota468@example.com,9998.0,paid,2025-10-07,TN-SSD-001
dev.nori282@example.com,1519.05,paid,2025-10-07,TN-HUB-001
aarna.jaggi223@example.com,36098.1,cancelled,2025-10-07,TN-MON-001
maanas.ratta158@example.com,3598.0,paid,2025-10-07,TN-LIGHT-001
inaya.taneja23@example.com,1218.06,paid,2025-10-08,TN-STAND-001
elijah.dalal19@example.com,11195.0,paid,2025-10-08,TN-KB-001;TN-MOUSE-001;TN-COOL-001
gavin.gade327@example.com,6297.0,paid,2025-10-08,TN-HEADSET-001;TN-CAM-001;TN-STAND-001
ayaan.krishnamurthy84@example.com,2798.0,cancelled,2025-10-08,TN-MOUSE-001;TN-STAND-001
urvashi.goswami347@example.com,7647.45,cancelled,2025-10-08,TN-SSD-001;TN-CAM-001
elijah.wason1@example.com,1999.0,paid,2025-10-08,TN-CAM-001
chandran.datta211@example.com,3497.0,paid,2025-10-08,TN-MAT-001;TN-STAND-001
fbhandari@example.net,2598.0,paid,2025-10-08,TN-STAND-001
michael36@example.net,1349.1,pending,2025-10-08,TN-STAND-001
amaira.sarin416@example.com,954.58,paid,2025-10-08,TN-MAT-001
akshay.bobal144@example.com,1599.0,paid,2025-10-09,TN-HUB-001
darpan.gour264@example.com,2563.1,pending,2025-10-09,TN-LIGHT-001;TN-MAT-001
yashica.aurora418@example.com,6712.45,paid,2025-10-09,TN-STAND-001;TN-SSD-001;TN-HUB-001
harsh.karan70@example.com,2699.1,paid,2025-10-09,TN-HEADSET-001
krisha.mutti196@example.com,1999.0,paid,2025-10-09,TN-CAM-001
anvi.shan371@example.com,1376.69,paid,2025-10-09,TN-STAND-001
gavin.gade327@example.com,3324.05,paid,2025-10-09,TN-KB-001
timothy.bhatti369@example.com,1709.05,paid,2025-10-09,TN-LIGHT-001
shivani.murthy265@example.com,39197.0,paid,2025-10-09,TN-COOL-001;TN-MON-001
adweta.parsa189@example.com,1709.05,paid,2025-10-10,TN-LIGHT-001
udant.sundaram260@example.com,12630.25,paid,2025-10-10,TN-SSD-001;TN-MAT-001;TN-COOL-001
baghyawati.mishra213@example.com,3598.0,failed,2025-10-10,TN-LIGHT-001
ebhardwaj@example.com,1599.0,paid,2025-10-10,TN-HUB-001
omya.boase4@example.com,3473.97,paid,2025-10-10,PROMO-GIFTSET-01
chaman.varty385@example.com,8922.45,pending,2025-10-10,TN-CAM-001;TN-KB-001;TN-SSD-001
jyoti.dhingra382@example.com,1214.08,paid,2025-10-10,TN-STAND-001
chaitanya.jani320@example.com,2999.0,paid,2025-10-10,TN-HEADSET-001
rishi.kashyap257@example.com,5997.0,paid,2025-10-10,TN-MOUSE-001;TN-HEADSET-001
zarna.wali94@example.com,2998.0,paid,2025-10-10,TN-MOUSE-001
lucky.sagar263@example.com,37998.0,paid,2025-10-11,TN-MON-001
saumya.ratti33@example.com,18999.0,paid,2025-10-11,TN-MON-001
abha.ahuja317@example.com,4407.3,paid,2025-10-11,TN-MAT-001;TN-CAM-001
mason.koshy350@example.com,18049.05,paid,2025-10-11,TN-MON-001
leena.narula116@example.com,18999.0,paid,2025-10-11,TN-MON-001
ati.loyal303@example.com,5697.0,paid,2025-10-11,TN-CTRL-001;TN-HUB-001
udant.hayer63@example.com,1272.58,paid,2025-10-11,TN-COOL-001
aarnav.pant392@example.com,6076.2,paid,2025-10-11,TN-HUB-001;TN-HEADSET-001;TN-MAT-001
girish.rattan456@example.com,39506.4,paid,2025-10-11,TN-SSD-001;TN-MAT-001;TN-MON-001
ayaan.krishnamurthy84@example.com,2374.05,paid,2025-10-11,TN-CTRL-001
zashil.bansal136@example.com,1446.24,paid,2025-10-11,TN-MOUSE-001
yutika.bhagat42@example.com,1999.0,refunded,2025-10-11,TN-CAM-001
balveer.agarwal238@example.com,1999.0,paid,2025-10-11,TN-CAM-001
zarna.peri61@example.com,6998.0,paid,2025-10-11,TN-CAM-001;TN-SSD-001
zashil.bansal136@example.com,1799.1,failed,2025-10-12,TN-CAM-001
samesh.jani434@example.com,6997.0,refunded,2025-10-12,TN-CAM-001;TN-MOUSE-001;TN-KB-001
osha.patil253@example.com,1421.8,paid,2025-10-12,TN-MOUSE-001
